,title_id,platform_id
0,tt8543952,pt0
1,tt10556338,pt0
2,tt2308260,pt0
3,tt1846442,pt0
4,tt0084732,pt0
5,tt0880648,pt0
6,tt5542802,pt0
7,tt1272886,pt0
8,tt8804580,pt0
9,tt5186714,pt0
10,tt7721800,pt0
11,tt1285309,pt0
12,tt1265990,pt0
13,tt0100046,pt0
14,tt0185102,pt0
15,tt9176086,pt0
16,tt1182937,pt0
17,tt1979918,pt0
18,tt0397150,pt0
19,tt1833116,pt0
20,tt4048668,pt0
21,tt1483324,pt0
22,tt6107548,pt0
23,tt2844798,pt0
24,tt9906260,pt0
25,tt1596786,pt0
26,tt2577192,pt0
27,tt10344410,pt0
28,tt0068284,pt0
29,tt1709143,pt0
30,tt7059844,pt0
31,tt3435532,pt0
32,tt2338424,pt0
33,tt6045466,pt0
34,tt1837562,pt0
35,tt0363276,pt0
36,tt0926063,pt0
37,tt5179598,pt0
38,tt0093822,pt0
39,tt0096378,pt0
40,tt5368542,pt0
41,tt1929308,pt0
42,tt1974419,pt0
43,tt9827834,pt0
44,tt0457510,pt0
45,tt3326366,pt0
46,tt2751074,pt0
47,tt3780500,pt0
48,tt1412386,pt0
49,tt2165735,pt0
50,tt2391224,pt0
51,tt9824114,pt0
52,tt1883180,pt0
53,tt0068805,pt0
54,tt1764625,pt0
55,tt0263757,pt0
56,tt10174244,pt0
57,tt0269483,pt0
58,tt11080108,pt0
59,tt0120710,pt0
60,tt5700176,pt0
61,tt0068575,pt0
62,tt2106550,pt0
63,tt0116059,pt0
64,tt0116671,pt0
65,tt7183578,pt0
66,tt0092632,pt0
67,tt1158939,pt0
68,tt0080436,pt0
69,tt1032856,pt0
70,tt6390668,pt0
71,tt9805612,pt0
72,tt1407084,pt0
73,tt12882620,pt0
74,tt2323964,pt0
75,tt6543652,pt0
76,tt0105698,pt0
77,tt0829176,pt0
78,tt0100029,pt0
79,tt0333766,pt0
80,tt0461936,pt0
81,tt0072431,pt0
82,tt0910905,pt0
83,tt0068361,pt0
84,tt1185420,pt0
85,tt0245407,pt0
86,tt8983164,pt0
87,tt0330843,pt0
88,tt8368406,pt0
89,tt2417650,pt0
90,tt0484111,pt0
91,tt1656177,pt0
92,tt4647900,pt0
93,tt0093036,pt0
94,tt6463320,pt0
95,tt8239946,pt0
96,tt1592873,pt0
97,tt3404140,pt0
98,tt0078087,pt0
99,tt11143108,pt0
0,tt0120631,pt1
1,tt0111419,pt1
2,tt3089630,pt1
3,tt1053810,pt1
4,tt0870154,pt1
5,tt0104437,pt1
6,tt1294226,pt1
7,tt0401398,pt1
8,tt0116669,pt1
9,tt0452598,pt1
10,tt14062858,pt1
11,tt2252938,pt1
12,tt0230011,pt1
13,tt0119718,pt1
14,tt0075200,pt1
15,tt1485796,pt1
16,tt0113198,pt1
17,tt0107131,pt1
18,tt0105958,pt1
19,tt0112499,pt1
20,tt0852863,pt1
21,tt0101076,pt1
22,tt1090750,pt1
23,tt0273799,pt1
24,tt0114924,pt1
25,tt0105417,pt1
26,tt2980706,pt1
27,tt0294425,pt1
28,tt8336340,pt1
29,tt1334106,pt1
30,tt0114709,pt1
31,tt1204342,pt1
32,tt0479113,pt1
33,tt0962726,pt1
34,tt8980868,pt1
35,tt0436339,pt1
36,tt5613056,pt1
37,tt0283084,pt1
38,tt0096438,pt1
39,tt0079588,pt1
40,tt2140373,pt1
41,tt1078912,pt1
42,tt0120363,pt1
43,tt0271271,pt1
44,tt0113862,pt1
45,tt7146812,pt1
46,tt1571313,pt1
47,tt0118617,pt1
48,tt11681250,pt1
49,tt1846442,pt1
50,tt14602326,pt1
51,tt4777008,pt1
52,tt0114048,pt1
53,tt0410696,pt1
54,tt0076137,pt1
55,tt3228774,pt1
56,tt0247638,pt1
57,tt0265632,pt1
58,tt0952640,pt1
59,tt0249677,pt1
60,tt5104604,pt1
61,tt0097757,pt1
62,tt12607910,pt1
63,tt0128890,pt1
64,tt0361089,pt1
65,tt1843230,pt1
66,tt0109520,pt1
67,tt0094739,pt1
68,tt4846340,pt1
69,tt0076618,pt1
70,tt1865769,pt1
71,tt0073760,pt1
72,tt0457993,pt1
73,tt0147800,pt1
74,tt0211181,pt1
75,tt0296251,pt1
76,tt0458290,pt1
77,tt1790809,pt1
78,tt0083481,pt1
79,tt0368891,pt1
80,tt0082474,pt1
81,tt0130623,pt1
82,tt0382932,pt1
83,tt0273842,pt1
84,tt4661600,pt1
85,tt0997047,pt1
86,tt0945571,pt1
87,tt0304669,pt1
88,tt0486761,pt1
89,tt0377770,pt1
90,tt1127884,pt1
91,tt0078158,pt1
92,tt1159961,pt1
93,tt1604171,pt1
94,tt0080861,pt1
95,tt0363771,pt1
96,tt0106611,pt1
97,tt0107120,pt1
98,tt1013542,pt1
99,tt0104431,pt1
0,tt4903242,pt2
1,tt1582457,pt2
2,tt0338096,pt2
3,tt6548228,pt2
4,tt0239195,pt2
5,tt0368530,pt2
6,tt7018644,pt2
7,tt4307902,pt2
8,tt7616148,pt2
9,tt2660806,pt2
10,tt0145487,pt2
11,tt5583512,pt2
12,tt5462326,pt2
13,tt0758745,pt2
14,tt1575539,pt2
15,tt1865718,pt2
16,tt7589524,pt2
17,tt4329810,pt2
18,tt2705602,pt2
19,tt2654620,pt2
20,tt2586120,pt2
21,tt2211129,pt2
22,tt2235759,pt2
23,tt1778304,pt2
24,tt2094064,pt2
25,tt5093026,pt2
26,tt0410975,pt2
27,tt3741634,pt2
28,tt2226342,pt2
29,tt6220752,pt2
30,tt0490668,pt2
31,tt1910272,pt2
32,tt1853739,pt2
33,tt5056196,pt2
34,tt3859272,pt2
35,tt1583421,pt2
36,tt0098948,pt2
37,tt1694020,pt2
38,tt2802850,pt2
39,tt7078658,pt2
40,tt0808151,pt2
41,tt6842770,pt2
42,tt1213012,pt2
43,tt0791205,pt2
44,tt11794642,pt2
45,tt3316796,pt2
46,tt0119008,pt2
47,tt0286486,pt2
48,tt6304046,pt2
49,tt0103491,pt2
50,tt0082782,pt2
51,tt6205872,pt2
52,tt1785123,pt2
53,tt6450804,pt2
54,tt8663516,pt2
55,tt0435961,pt2
56,tt0110216,pt2
57,tt0126158,pt2
58,tt7703924,pt2
59,tt0096542,pt2
60,tt1552112,pt2
61,tt1772379,pt2
62,tt12306692,pt2
63,tt6769280,pt2
64,tt0974613,pt2
65,tt0072562,pt2
66,tt6768578,pt2
67,tt4536768,pt2
68,tt3200980,pt2
69,tt7242816,pt2
70,tt7557108,pt2
71,tt4574736,pt2
72,tt1951264,pt2
73,tt1191056,pt2
74,tt0094006,pt2
75,tt1489887,pt2
76,tt4189492,pt2
77,tt1441109,pt2
78,tt1821681,pt2
79,tt0098936,pt2
80,tt6128254,pt2
81,tt0128445,pt2
82,tt9223870,pt2
83,tt2100546,pt2
84,tt6301452,pt2
85,tt5918982,pt2
86,tt7545524,pt2
87,tt0345061,pt2
88,tt1411598,pt2
89,tt2118624,pt2
90,tt2861424,pt2
91,tt1341188,pt2
92,tt4419214,pt2
93,tt0460627,pt2
94,tt0108872,pt2
95,tt9418572,pt2
96,tt8089526,pt2
97,tt4047038,pt2
98,tt6470478,pt2
99,tt0462499,pt2
0,tt1648186,pt3
1,tt5126922,pt3
2,tt0190332,pt3
3,tt6522546,pt3
4,tt0373074,pt3
5,tt0116996,pt3
6,tt14252964,pt3
7,tt0117765,pt3
8,tt0811066,pt3
9,tt3824412,pt3
10,tt1504320,pt3
11,tt9760504,pt3
12,tt8771910,pt3
13,tt10303430,pt3
14,tt10627720,pt3
15,tt2172584,pt3
16,tt1613750,pt3
17,tt6595896,pt3
18,tt0893507,pt3
19,tt0108162,pt3
20,tt5294198,pt3
21,tt3544734,pt3
22,tt0780567,pt3
23,tt1315981,pt3
24,tt7605074,pt3
25,tt0369436,pt3
26,tt7214842,pt3
27,tt0456149,pt3
28,tt0185183,pt3
29,tt4210080,pt3
30,tt8110640,pt3
31,tt5253282,pt3
32,tt4779326,pt3
33,tt0134084,pt3
34,tt4273292,pt3
35,tt15036416,pt3
36,tt0118571,pt3
37,tt6259380,pt3
38,tt3352390,pt3
39,tt0478087,pt3
40,tt4631532,pt3
41,tt5946128,pt3
42,tt9109976,pt3
43,tt0462482,pt3
44,tt0181739,pt3
45,tt0295178,pt3
46,tt3532628,pt3
47,tt8688814,pt3
48,tt12411074,pt3
49,tt1826603,pt3
50,tt0431308,pt3
51,tt5189894,pt3
52,tt2473602,pt3
53,tt6892462,pt3
54,tt0098999,pt3
55,tt5639446,pt3
56,tt2467046,pt3
57,tt1528406,pt3
58,tt4419364,pt3
59,tt7472352,pt3
60,tt5773986,pt3
61,tt0107311,pt3
62,tt9251798,pt3
63,tt13318052,pt3
64,tt1219342,pt3
65,tt0914376,pt3
66,tt5111874,pt3
67,tt8009744,pt3
68,tt0102065,pt3
69,tt9425132,pt3
70,tt3848888,pt3
71,tt1999167,pt3
72,tt2101441,pt3
73,tt0377818,pt3
74,tt2720826,pt3
75,tt14832996,pt3
76,tt0102744,pt3
77,tt9820352,pt3
78,tt6214928,pt3
79,tt3169770,pt3
80,tt0347436,pt3
81,tt6402468,pt3
82,tt7315484,pt3
83,tt2140373,pt3
84,tt3398976,pt3
85,tt1552211,pt3
86,tt1878870,pt3
87,tt3114390,pt3
88,tt4919484,pt3
89,tt2186933,pt3
90,tt1058017,pt3
91,tt0266697,pt3
92,tt4030600,pt3
93,tt5197860,pt3
94,tt9310336,pt3
95,tt3565486,pt3
96,tt0172684,pt3
97,tt0457433,pt3
98,tt6927152,pt3
99,tt8741648,pt3
